pyroCb_id,time,pixel_latitude,pixel_longitude,latitude_vegetation,longitude_vegetation,cvh,cvl,tvh,tvl,dist_km,fire_proxy,cloud_height_proxy,raw_fire_bt,raw_cloud_bt,simulated_green,t2m,sp,u10,v10,z,blh,cape,tp,cin,slhf,sshf,fg10,wind_speed10,wind_dir_deg,cin_filled,injection_potential,PII,capped_flag,elevation,slope,aspect_sin,aspect_cos,tpi,tri,rh_650,rh_750,rh_850,u_250,v_250,step,age_h,hour_utc,doy,diurnal_sin,diurnal_cos,season_sin,season_cos,wind250,wind_dir250,dir_shear_deg,speed_shear,gust_factor,ventilation,bowen,net_hflux,buoy_forcing,trigger_idx,rh_colmean,rh_lapse,dry_air_entrain,upslope_idx,d_fire_proxy,d_cloud_height_proxy,d_raw_cloud_bt,d_raw_fire_bt,d_blh,d_cape,d_ventilation,phase,phase_name,dry_spell,y_fire_proxy_p1,y_chp_p1,y_cbt_chg_p1,y_intensify_p1,y_pii_p1
179,2021-05-27 06:00:00,33.287441579264026,-108.5884828,33.25,-108.5,0.88882446,0.093578815,3,16,1.759520275503201,-90.97516,2.1214066,0.08201026,0.4504775,91.42564,285.41797,78444.81,1.8000793,-0.9734497,21641.742,29.842527,0.0,0.0,,-9385.0,30882.0,4.455146,2.046433435203447,118.4037054072623,0.0,-0.214815894,-0.019455698,0.0,3040.0,29.0,0.37460658,0.92718387,4.5675673,1.0,21.704833984375,13.238544464111328,16.76616668701172,30.14497375488281,18.56298828125,0,0.0,6,147,1.0,6.123233995736766e-17,0.5751899607119775,-0.8180198708443175,35.40203350956549,238.37563335192942,119.97192794466713,33.355600074362044,2.1770295204139343,61.07074504376162,3.2905700586041555,21497.0,0.0,0.0,17.236515045166016,-4.938667297363281,78.295166015625,0.1115332185983778,,,,,,,,1,mature,1.0,-97.58934,1.5844574,0.06726715999999999,0.0,-0.215181818
179,2021-05-27 12:00:00,33.287441579264026,-108.5884828,33.25,-108.5,0.88882446,0.093578815,3,16,1.759520275503201,-97.58934,1.5844574,0.0344326,0.51774466,98.107086,283.81982,78381.625,-0.6374512,-1.7632446,21641.742,19.02275,0.0,0.0,,-11440.0,53303.0,3.6936464,1.8749334793028256,199.87602326509148,0.0,-0.405667962,-0.215181818,0.0,3040.0,29.0,0.37460658,0.92718387,4.5675673,1.0,27.561798095703125,16.804243087768555,29.028404235839844,31.93148803710937,23.41680908203125,1,6.0,12,147,1.2246467991473532e-16,-1.0,0.5751899607119775,-0.8180198708443175,39.5975614886619,233.74571359154413,33.869690326452655,37.72262800935908,1.9700146382651633,35.666390843407825,4.659353146853147,41863.0,0.0,0.0,24.464815139770508,1.4666061401367188,72.43820190429688,0.9993129725518386,-6.614180000000005,-0.5369491999999998,0.06726715999999999,-0.04757766,-10.819777000000002,0.0,-25.404354200353794,1,mature,2.0,-98.93545,0.5549164,0.08916794000000006,0.0,-0.223115053
179,2021-05-27 18:00:00,33.287441579264026,-108.5884828,33.25,-108.5,0.88882446,0.093578815,3,16,1.759520275503201,-98.93545,0.5549164,32.590084,0.6069126,99.54236,296.2649,78424.69,2.9282074,2.4809418,21641.742,3220.694,0.0,0.0,,-257449.0,-1756259.0,11.259994,3.837899268141622,49.72685537694895,0.0,-0.183974973,-0.223115053,0.0,3040.0,29.0,0.37460658,0.92718387,4.5675673,1.0,27.39344787597656,14.19509506225586,11.27602195739746,31.07945251464844,21.67584228515625,2,12.0,18,147,-1.0,-1.8369701987210297e-16,0.5751899607119775,-0.8180198708443175,37.8916152648743,235.10680109849238,174.62005427845656,34.05371599673268,2.9338951372353987,12360.699145508113,-6.821774409688909,-2013708.0,0.0,0.0,17.62152163187663,-16.1174259185791,72.60655212402344,-0.885175641704531,-1.346109999999996,-1.029541,0.08916794000000006,32.555651399999995,3201.67125,0.0,12325.032754664706,1,mature,3.0,-99.40178,0.95085144,-0.07039574999999998,1.0,-0.20452987
179,2021-05-28 00:00:00,33.287441579264026,-108.5884828,33.25,-108.5,0.88882446,0.093578815,3,16,1.759520275503201,-99.40178,0.95085144,24.936518,0.53651685,99.93829,297.21753,78231.0,3.6202393,2.4089966,21641.742,3189.0579,0.0,0.0,,-181576.0,-773753.0,13.473206,4.348493671155111,56.3592255,0.0,-0.199941493,-0.20452987,0.0,3040.0,29.0,0.37460658,0.92718387,4.5675673,1.0,22.14858055114746,12.047037124633787,10.058138847351074,21.766632080078125,8.594024658203125,3,18.0,0,148,0.0,1.0,0.5610336262283677,-0.8277930117131022,23.401784802345514,248.4546218625165,167.90460363748355,19.053291131190402,3.098361644026734,13867.59809509721,-4.2613175750099135,-955329.0,0.0,0.0,14.751252174377441,-12.090441703796387,77.85141944885254,-0.8255153373828371,-0.46632999999999925,0.39593504,-0.07039574999999998,-7.653565999999998,-31.63610000000017,0.0,1506.8989495890964,1,mature,4.0,-99.15588,2.1118546,-0.0015643499999999921,1.0,-0.247898664
179,2021-05-28 06:00:00,33.287441579264026,-108.5884828,33.25,-108.5,0.88882446,0.093578815,3,16,1.759520275503201,-99.15588,2.1118546,0.002714154,0.5349525,99.690834,285.9912,78377.31,1.2045593,-2.0355377,21641.742,33.441696,0.0,0.0,,-7218.0,30642.0,4.0980616,2.365243504448914,149.38445249735696,0.0,-0.449489531,-0.247898664,0.0,3040.0,29.0,0.37460658,0.92718387,4.5675673,1.0,15.003979682922363,13.651347160339355,16.103185653686523,23.59017944335937,-3.886917114257813,4,24.0,6,148,1.0,6.123233995736766e-17,0.5610336262283677,-0.8277930117131022,23.90825570431698,279.3564689512901,129.97201645393312,21.543012199868066,1.7326172093028624,79.09775424175524,4.245220282626766,23424.0,0.0,0.0,14.919504165649414,1.0992059707641602,84.99602031707764,0.607160263373854,0.245900000000006,1.16100316,-0.0015643499999999921,-24.933803846,-3155.616204,0.0,-13788.500340855455,1,mature,5.0,-91.44462,-3.9968185,-0.15799950000000007,0.0,-0.13005477
179,2021-05-28 12:00:00,33.287441579264026,-108.5884828,33.25,-108.5,0.88882446,0.093578815,3,16,1.759520275503201,-91.44462,-3.9968185,0.018573377,0.376953,91.82157,281.1328,78327.625,-0.24627686,-0.86535645,21641.742,12.567247,0.0,0.0,,-10618.0,66418.0,2.7695112,0.8997188879467087,195.88613345876607,0.0,-0.22970451,-0.13005477,0.0,3040.0,29.0,0.37460658,0.92718387,4.5675673,1.0,18.87051010131836,12.622864723205566,29.0842399597168,30.164459228515625,-1.4835662841796875,5,30.0,12,148,1.2246467991473532e-16,-1.0,0.5610336262283677,-0.8277930117131022,30.20092001029664,272.8156860831635,76.92955262439739,29.301201122349934,3.0781961311498454,11.306989495391612,6.255226973064607,55800.0,0.0,0.0,20.192538261413574,10.213729858398441,81.12948989868164,0.9943121992632258,7.711259999999996,-6.1086731,-0.15799950000000007,0.015859223,-20.874449,0.0,-67.79076474636364,0,growth,6.0,-93.91057,0.4087677,0.35510773000000007,1.0,-0.226666381
179,2021-05-28 18:00:00,33.287441579264026,-108.5884828,33.25,-108.5,0.88882446,0.093578815,3,16,1.759520275503201,-93.91057,0.4087677,48.273067,0.73206073,94.64263,297.99243,78371.625,1.7767639,2.7120972,21641.742,2775.8953,0.0,0.0,,-240049.0,-1740756.0,10.420496,3.2422771594345616,33.22982836469083,0.0,-0.075821043,-0.226666381,0.0,3040.0,29.0,0.37460658,0.92718387,4.5675673,1.0,17.18170738220215,8.637378692626953,7.299050331115723,30.76409912109375,-6.3924407958984375,6,36.0,18,148,-1.0,-1.8369701987210297e-16,0.5610336262283677,-0.8277930117131022,31.421220441948908,281.738393956199,111.49143440849184,28.178943282514346,3.2139436228262754,9000.22192817175,-7.251669450820457,-1980805.0,0.0,0.0,11.039378801981607,-9.882657051086426,82.81829261779785,-0.9808538998526263,-2.4659500000000065,4.4055862,0.35510773000000007,48.254493622999995,2763.328053,0.0,8988.914938676358,2,decay,7.0,-96.23272,-0.10394287,-0.19397956000000005,0.0,-0.17805383
179,2021-05-29 00:00:00,33.287441579264026,-108.5884828,33.25,-108.5,0.88882446,0.093578815,3,16,1.759520275503201,-96.23272,-0.10394287,32.22951,0.53808117,96.7708,298.1809,78161.94,3.772461,1.8978729,21641.742,2030.7688,0.0,0.0,,-161469.0,-749174.0,13.078024,4.222959097727021,63.29366458696484,0.0,-0.2031105,-0.17805383,0.0,3040.0,29.0,0.37460658,0.92718387,4.5675673,1.0,10.01084327697754,6.143734931945801,5.27065372467041,29.71592712402344,-7.84515380859375,7,42.0,0,149,0.0,1.0,0.5467112728685939,-0.8373211953118121,30.734065190286252,284.78894627116387,138.50471831580097,26.51110609255923,3.096886258509858,8575.853579340184,-4.639738897249627,-910643.0,0.0,0.0,7.141743977864583,-4.740189552307131,89.98915672302246,-0.7513370957903016,-2.3221499999999935,-0.51271057,-0.19397956000000005,-16.043557,-745.1265000000001,0.0,-424.3683488315655,0,growth,8.0,-92.70482,-3.2381973,-0.13453417,0.0,-0.157289776
179,2021-05-29 06:00:00,33.287441579264026,-108.5884828,33.25,-108.5,0.88882446,0.093578815,3,16,1.759520275503201,-92.70482,-3.2381973,0.066151045,0.403547,93.10837,285.56177,78207.44,0.7910614,-1.1779938,21641.742,18.379013,0.0,0.0,,-7246.0,33170.0,4.7547913,1.4189600175510233,146.11734669921395,0.0,-0.265427319,-0.157289776,0.0,3040.0,29.0,0.37460658,0.92718387,4.5675673,1.0,7.315901756286621,9.308744430541992,11.111135482788086,28.43955993652344,-0.00244140625,8,48.0,6,149,1.0,6.123233995736766e-17,0.5467112728685939,-0.8373211953118121,28.439560041315225,270.00491858081386,123.88757188159991,27.020600023764203,3.350898715388946,26.079084609050486,4.577698040298095,25924.0,0.0,0.0,9.2452605565389,3.795233726501465,92.68409824371338,0.5608896850249937,3.5279000000000025,-3.13425443,-0.13453417,-32.163358955,-2012.389787,0.0,-8549.774494731133,1,mature,8.0,-89.85205,-1.2285995,-0.06726709999999997,1.0,0.000677072
179,2021-05-29 12:00:00,33.287441579264026,-108.5884828,33.25,-108.5,0.88882446,0.093578815,3,16,1.759520275503201,-89.85205,-1.2285995,0.066151045,0.3362799,90.18833,283.22217,78209.5,-0.2683258,-0.63638306,21641.742,12.213965,0.0,0.0,,-5715.0,34130.0,2.292245,0.690638932,202.86232934007083,0.0,-0.183991505,0.000677072,0.0,3040.0,29.0,0.37460658,0.92718387,4.5675673,1.0,17.384876251220703,10.654973983764648,17.152751922607422,29.74263000488281,-1.0910491943359375,9,54.0,12,149,1.2246467991473532e-16,-1.0,0.5467112728685939,-0.8373211953118121,29.76263476159018,272.10083966470324,69.23851032463241,29.071995829590183,3.319020828093137,8.43543974308538,5.972003499562555,28415.0,0.0,0.0,15.064200719197592,-0.23212432861328125,82.6151237487793,0.9998867432959443,2.8527699999999925,2.0095978,-0.06726709999999997,0.0,-6.1650480000000005,0.0,-17.643644865965108,1,mature,8.0,-86.21325,-5.199318,0.37231555,0.0,-0.215092509
