,fire_proxy,cloud_height_proxy,raw_cloud_bt,blh,cape,ventilation,rh_colmean,wind250
fire_proxy,0.33698442286024205,0.010861454087586219,-0.14607701897413014,-0.030452509440043594,0.03867283275200102,0.012469245545324708,0.15095892938000954,0.00079105806825888
cloud_height_proxy,0.10938766002149063,0.24761359456298865,0.038593157092901446,-0.17906321690501353,0.03758801879565869,-0.17827337349071165,0.10410459152875177,0.009859110039363364
raw_cloud_bt,-0.2655745266095263,0.24673257405857402,0.3446829958849826,0.16766415463974865,0.040856142429934114,0.21164656208006738,-0.01228544377303292,0.04271383564839324
blh,0.14503495060116758,-0.1801593811573141,-0.1727984666357651,0.22312939147592128,0.006937990556969337,0.2722362746002595,0.0186412352121616,-0.06576554828867931
cape,-0.067671911608648,0.08939264751447763,0.041348942808380425,-0.07812888988089164,0.7132578969765778,-0.07247344249328268,0.012157671522547653,0.06614033195963212
ventilation,-0.0020111662862946694,0.043581086772814304,-0.0768756352620619,-0.2884065895889253,-0.02604957036129784,-0.24353441519086022,0.007360208806164947,0.040052602440097694
rh_colmean,0.23986450536020287,-0.045607247503371015,-0.12147348573853664,-0.1794682119017216,0.07100431370872211,-0.2183364621721858,0.8076388643589032,0.032464675049262356
wind250,-0.044348298633715935,0.012159364575613858,0.010740543004611757,0.003719283220189435,0.07256666389581048,0.10975805106072589,0.03630826390382827,0.7583278802297175
