event,scenario,step,fire_p1_mean,fire_p1_sd,pii_p1_mean,pii_p1_sd,fire_p2_mean,fire_p2_sd,pii_p2_mean,pii_p2_sd,fire_p3_mean,fire_p3_sd,pii_p3_mean,pii_p3_sd,fire_p4_mean,fire_p4_sd,pii_p4_mean,pii_p4_sd
179,S0 baseline,0,-88.16455078125,0.8642627000808716,-0.05749816074967384,0.015113793313503265,-90.0494613647461,1.6233662366867065,-0.037414394319057465,0.03444836288690567,-86.7734375,0.900542676448822,-0.03784285858273506,0.04031148925423622,-91.23589324951172,0.6825739741325378,0.10830477625131607,0.013521656394004822
179,S0 baseline,1,-93.07903289794922,2.595550298690796,-0.19255320727825165,0.010669871233403683,-85.92850494384766,1.3204394578933716,-0.1893095225095749,0.02517213113605976,-93.02691650390625,0.2795328199863434,0.2817956507205963,0.023066803812980652,-93.2412338256836,0.6311587691307068,-0.1268196851015091,0.018210310488939285
179,S0 baseline,2,-88.79170989990234,1.3890610933303833,-0.07453090697526932,0.045680511742830276,-92.7860107421875,0.10713939368724823,-0.09544374793767929,0.0447554886341095,-88.46044158935547,0.6032147407531738,-0.050967928022146225,0.042056623846292496,-92.52825927734375,0.5882201194763184,-0.19928276538848877,0.04045119509100914
179,S0 baseline,3,-89.37747192382812,1.424475073814392,-0.10795918852090836,0.019313255324959755,-90.11688232421875,0.5760744214057922,-0.16781358420848846,0.010858639143407345,-90.8383560180664,0.9569740891456604,-0.2706751227378845,0.016781706362962723,-94.38971710205078,0.8012197017669678,-0.22771398723125458,0.0190846249461174
179,S0 baseline,4,-94.85424041748047,3.7788197994232178,-0.15732276439666748,0.02845611423254013,-94.8650131225586,0.7237841486930847,-0.47073695063591003,0.035817187279462814,-94.46344757080078,0.4201972186565399,-0.3323931097984314,0.014321786351501942,-95.0517578125,0.8822832107543945,-0.16542397439479828,0.01481281965970993
179,S0 baseline,5,-96.13899993896484,1.3029321432113647,-0.20120792090892792,0.027381936088204384,-84.59009552001953,1.9133533239364624,-0.15879970788955688,0.020323215052485466,-84.92337799072266,0.8304812908172607,-0.017144478857517242,0.027501164004206657,-88.65113067626953,0.825029730796814,-0.007017539814114571,0.007713207975029945
179,S0 baseline,6,-88.97198486328125,0.32947346568107605,-0.09570126980543137,0.038004498928785324,-93.67974853515625,1.0432287454605103,-0.13479025661945343,0.016422849148511887,-90.8948974609375,0.7661845684051514,-0.1031288430094719,0.016109980642795563,-91.60540008544922,0.37561166286468506,-0.19421030580997467,0.025754841044545174
179,S0 baseline,7,-89.8134994506836,1.0547388792037964,-0.111490398645401,0.014452178031206131,-91.62481689453125,0.6131900548934937,-0.1897963434457779,0.026122136041522026,-91.11934661865234,0.48508551716804504,-0.2874033451080322,0.01574060507118702,-92.4075927734375,0.9649592638015747,-0.226657435297966,0.02155400440096855
179,S0 baseline,8,-90.23436737060547,0.32683154940605164,-0.10979527235031128,0.046056583523750305,-92.8751449584961,1.7064921855926514,-0.3608728349208832,0.009005925618112087,-87.51799774169922,1.4590494632720947,-0.19607877731323242,0.027489636093378067,-91.72113037109375,1.1051315069198608,-0.09677636623382568,0.02513555809855461
179,S0 baseline,9,-89.58771514892578,1.3715027570724487,-0.0941181480884552,0.024927468970417976,-87.11233520507812,0.8400217294692993,-0.0529513955116272,0.029145359992980957,-84.23059844970703,2.2763044834136963,0.07499654591083527,0.03130565956234932,-89.94214630126953,1.1090370416641235,0.1220293715596199,0.07115662097930908
179,S0 baseline,10,-90.53685760498047,0.3455989360809326,-0.13751806318759918,0.0039062106516212225,-94.198486328125,1.2748833894729614,-0.07092734426259995,0.030962064862251282,-89.24272918701172,0.11735077947378159,-0.10407578200101852,0.01629398763179779,-89.39794921875,0.9560865759849548,-0.02209317497909069,0.02894209325313568
179,S0 baseline,11,-88.83819580078125,1.8209619522094727,-0.03477809205651283,0.01220723893493414,-89.10245513916016,0.3433898091316223,0.040624652057886124,0.05827276036143303,-89.41802215576172,0.07072902470827103,-0.07184544950723648,0.030770298093557358,-86.18476104736328,1.2281558513641357,0.15922971069812775,0.04593495652079582
179,S0 baseline,12,-92.02814483642578,0.296761691570282,-0.09212610125541687,0.01669156365096569,-85.05744171142578,2.7569191455841064,-0.2636883556842804,0.02443676069378853,-87.90435028076172,1.354725956916809,-0.14120176434516907,0.026393456384539604,-91.61530303955078,0.700965404510498,0.012796864844858646,0.01796833984553814
179,S0 baseline,13,-90.4869613647461,0.3057480454444885,-0.11025809496641159,0.03028596006333828,-88.49819946289062,1.418384313583374,-0.007612708956003189,0.035298630595207214,-83.1319580078125,2.1875803470611572,0.5137541890144348,0.03428863361477852,-87.6483154296875,0.300656795501709,0.14915624260902405,0.03469512239098549
179,S0 baseline,14,-88.98494720458984,1.1554023027420044,-0.07356756925582886,0.009495846927165985,-94.93155670166016,1.112366795539856,-0.08240135759115219,0.03506823256611824,-89.8313980102539,0.5980949997901917,-0.0732010081410408,0.03270019218325615,-90.26712799072266,0.7452788352966309,-0.024573808535933495,0.0342460535466671
179,S0 baseline,15,-88.75582122802734,1.8690565824508667,-0.0652744397521019,0.021237583830952644,-85.00820922851562,1.4055826663970947,-0.07313814014196396,0.05568721517920494,-88.0764389038086,0.7384997010231018,-0.25244057178497314,0.04809121415019035,-91.09236907958984,0.44375845789909363,-0.1324150264263153,0.01882277801632881
179,S0 baseline,16,-90.19571685791016,1.4165678024291992,-0.07178637385368347,0.030698174610733986,-88.85336303710938,1.9491748809814453,-0.32646143436431885,0.021584011614322662,-85.35516357421875,0.8499800562858582,0.4319424629211426,0.034990470856428146,-90.74095916748047,0.3342825174331665,0.002416933188214898,0.010466906242072582
179,S0 baseline,17,-97.49419403076172,3.026867151260376,-0.23361529409885406,0.029527854174375534,-88.822998046875,1.1501694917678833,-0.07951844483613968,0.04319588094949722,-89.77982330322266,1.3347196578979492,-0.10278365015983582,0.018537728115916252,-93.9596176147461,0.6973574161529541,-0.10511336475610733,0.03168192878365517
179,S0 baseline,18,-89.21070098876953,1.622633695602417,-0.10208802670240402,0.016978858038783073,-86.88477325439453,1.9113109111785889,-0.1260204315185547,0.02331848256289959,-89.3160400390625,1.9886609315872192,-0.11518426984548569,0.01590566523373127,-92.40792846679688,0.77605140209198,-0.1199670061469078,0.017101559787988663
179,S0 baseline,19,-89.85547637939453,2.00852632522583,-0.09777724742889404,0.006572911981493235,-82.7409439086914,2.4382095336914062,-0.23347239196300507,0.00549675989896059,-91.18895721435547,0.4901127815246582,-0.34846237301826477,0.03364711254835129,-92.81842041015625,0.5508910417556763,-0.16372595727443695,0.012739052064716816
179,S0 baseline,20,-92.35179901123047,2.670738697052002,-0.13556025922298431,0.029827596619725227,-88.35689544677734,1.2617374658584595,-0.2832324504852295,0.016162976622581482,-94.7214584350586,0.8671814799308777,-0.3138456642627716,0.02579910308122635,-93.96127319335938,0.8080751895904541,-0.09857389330863953,0.005985504947602749
179,S0 baseline,21,-78.48979949951172,1.9486470222473145,0.04409578815102577,0.056466490030288696,-104.1981430053711,1.4512860774993896,-0.16714179515838623,0.016176851466298103,-86.9656753540039,1.150439977645874,-0.14522899687290192,0.017728837206959724,-91.21063232421875,0.8229789733886719,-0.07029979676008224,0.03632880002260208
179,S0 baseline,22,-91.1421890258789,1.7193329334259033,-0.11017102003097534,0.02412252686917782,-91.53459930419922,0.6382616758346558,0.004103261511772871,0.00451613450422883,-90.72647094726562,0.725295901298523,-0.07736822217702866,0.033280715346336365,-93.66014862060547,0.23596830666065216,-0.19680850207805634,0.0167388953268528
179,S1 wind +20%,0,-88.6141586303711,0.9162672758102417,-0.06747321784496307,0.01661747880280018,-89.75103759765625,1.6293200254440308,-0.04248352348804474,0.026088068261742592,-82.54337310791016,1.5490036010742188,0.5841637253761292,0.04277797043323517,-90.03936004638672,0.7875962257385254,0.2567809820175171,0.019195282831788063
179,S1 wind +20%,1,-92.89019012451172,2.461733102798462,-0.1951218992471695,0.008566451258957386,-84.86189270019531,1.3872385025024414,-0.15647202730178833,0.027233486995100975,-91.3740005493164,0.24316376447677612,0.29978612065315247,0.027618538588285446,-94.50900268554688,0.6336284279823303,-0.019421670585870743,0.041193295270204544
179,S1 wind +20%,2,-88.89730072021484,0.9528523087501526,-0.06989473849534988,0.04561421647667885,-92.71123504638672,0.32480666041374207,-0.09162884950637817,0.03477787598967552,-86.4283447265625,0.9766425490379333,0.4587569236755371,0.019439134746789932,-92.71942138671875,0.5212695002555847,0.00604114169254899,0.038468051701784134
179,S1 wind +20%,3,-89.1341323852539,1.1360269784927368,-0.10135800391435623,0.02391807921230793,-90.71183013916016,0.6566703915596008,-0.16118942201137543,0.009826287627220154,-90.69257354736328,0.8976430892944336,-0.2684946358203888,0.017178071662783623,-93.8310546875,0.6168870329856873,-0.20879095792770386,0.028184430673718452
